R,hint,施設名,0,1
0,0,幼保連携型みのり認定こども園,823446.1093109926,#e9271f60
1,1,聖ミカエル幼保連携型認定こども園,961192.0514672692,#fec66160
2,2,幼保連携型認定こども園　はたつかこども園,2401777.750601663,#fec56060
3,3,大慈ほまれ幼保連携型認定こども園,222869.21390149463,#fee59060
4,4,幼保連携型認定こども園　塩原学園幼稚園,1454371.823638656,#fc743460
5,5,認定こども園　神戸華僑幼稚園,1023831.0485638627,#feda7960
6,6,葺合保育所,262169.550133583,#80002660
7,7,生田保育所,304173.2817930585,#fee59060
8,8,たちばな保育所,372934.9337538378,#fff6b760
9,9,みなと保育所,1291449.6224701684,#fc7c3760
10,10,宮本保育所,380010.85034900444,#fc743460
11,11,二宮保育所※,305606.31414273207,#e0181c60
12,12,神若保育所,197547.16320149953,#fd8f3d60
13,13,古湊保育所,412144.2708649147,#fedf8260
14,14,友愛幼児園,1017650.8460679847,#cd0b2160
15,15,めぐみ愛児園,106848.88830184787,#e31c1c60
17,17,大慈保育園　　※分園を含む,343396.46374934656,#fee59060
18,18,ポートピア保育園,5663800.3996905405,#dc151d60
19,19,真生きらきら保育園,694765.3723810056,#fee89660
20,20,神女中山手保育園,735451.5805484357,#fee48d60
21,21,成晃ひかり保育園,5554399.0227456875,#feec9f60
22,22,北野坂保育園,3693605.96233961,#fda44660
23,23,（仮称）元町ちどり保育園,1460347.7532902597,#fd913d60
41,41,幼保連携型認定こども園　聖ニコラス天使園,321615.81666644587,#fff6b760
42,42,幼保連携型認定こども園　夢　　※分園を含む　※１,469619.33523299964,#fee28960
43,43,幼保連携型認定こども園　石屋川くるみ保育園,439534.27446083206,#febd5860
44,44,幼保連携型認定こども園　本山北町あすのこども園,1134124.4716290238,#fed26f60
45,45,認定こども園　魚崎COCORO,1070865.412272638,#fff7ba60
46,46,幼保連携型認定こども園　きらり保育園,197843.31649397657,#ffeea260
47,47,幼保連携型認定こども園　きたおおぎこども園,155410.15068886042,#feea9a60
48,48,認定こども園　松蔭おかもと保育園,1210571.5292914505,#00000000
49,49,幼保連携型認定こども園　第２きらり保育園,538580.2937159521,#fee79560
50,50,幼保連携型認定こども園　同朋住吉台こども園,6960687.293091213,#fee79560
51,51,幼保連携型認定こども園　甲南すこやかこども園,440485.74104380043,#fff2ac60
52,52,幼保連携型認定こども園　モーツァルトこども園,150900.05393997193,#fee59060
53,53,認定こども園　あおい宙,200721.1742692868,#fedf8460
54,54,幼保連携型認定こども園　甲南こども園,1033440.8802210464,#fee18860
55,55,認定こども園　夢の星幼稚園,2309378.1247097477,#fee79360
56,56,魚崎保育所,1326738.136268179,#fee79560
57,57,東灘本庄保育所,851363.599537887,#fff4b160
58,58,御影保育所,481811.4192508007,#fedb7c60
59,59,本山保育所,175656.2520466819,#fff1aa60
60,60,渦森台保育所,7652987.033039764,#fff1aa60
61,61,中野保育所,146373.85633514312,#feec9f60
62,62,瀬戸保育所,228465.36003032158,#fff6b760
63,63,田中保育所,364647.01046220266,#ffeda160
64,64,浜御影保育所,232967.6259083043,#fee99960
65,65,住吉公園保育所,215877.64575061115,#ffeda160
66,66,光の子保育園　　※分園を含む　※２,3600438.3838889142,#feea9a60
68,68,ベネッセ本山保育園,260137.6695349338,#fee48e60
69,69,親和保育園,1027969.6039986857,#feec9f60
70,70,虹保育園,1003750.54457651,#ffeda160
71,71,岡本ハーベスト保育園,1184149.4715072047,#fff1aa60
72,72,高羽西岡本保育園,539527.7808696465,#fee69160
73,73,甲南山手保育園,286259.0721669414,#ffeea260
74,74,おかもと虹保育園,215548.07961741078,#fff1aa60
75,75,御影のどか保育園,1045186.8836101419,#fec05b60
76,76,住吉むつみ保育園　　※分園含む　※３,292962.0714847464,#fede8160
77,77,ＡＢＣみかげ保育園,1111530.1354654278,#fff1aa60
78,78,ブルーノの森保育園,167526.57135356028,#fff8bb60
79,79,神戸住吉保育園,167978.62124151568,#fedf8460
93,93,幼保連携型　明照認定こども園,2919619.50989683,#fee28a60
94,94,幼保連携型　つきかげ認定こども園,1311138.6741040978,#fee28a60
95,95,幼保連携型認定こども園　星の杜こども園,2476971.005889363,#fffcc560
96,96,幼保連携型認定こども園　キッズキャンパス,19018404.152129263,#fec15c60
97,97,幼保連携型認定こども園　八多保育園,6607495.598536317,#fff3af60
98,98,幼保連携型認定こども園　星の子こども園,3203906.694718058,#fffcc560
99,99,認定こども園　六甲藤原台幼稚園,2954570.0913505764,#fee99760
100,100,からと保育所,10312098.453376349,#fee99760
101,101,道場保育園,21472651.96369347,#fffcc560
102,102,有馬保育園,12677717.585522693,#feec9f60
103,103,大池保育園,16758769.6176896,#fee79360
104,104,ひとみ保育園,3105170.1012337506,#feec9f60
105,105,オリンピア神戸北保育園,29113490.587756556,#fee28a60
113,113,幼保連携型認定こども園　宝地院保育園,385979.43129804835,#00000000
114,114,幼保連携型認定こども園　大同保育園,2242136.5292467545,#fee89660
115,115,幼保連携型認定こども園　モーツァルト兵庫こども園,153109.79431431735,#fedc7d60
116,116,幼保連携型認定こども園　神港みどり幼稚園,490173.2367516167,#fee89660
117,117,運南保育所,692254.5494876974,#ffeea260
118,118,松原保育所,106954.01884623332,#fee48e60
119,119,羽坂保育所,556473.8210942749,#fed77460
120,120,平野保育所,512315.03944911994,#feeb9b60
121,121,小河保育所,428420.8153001488,#fee48e60
122,122,ゆりかご保育園,2049098.1200334346,#ffefa660
123,123,本願寺派湊川保育園,424962.62774841854,#fff9bf60
124,124,神徳館保育所,672243.7588067352,#ffeea260
125,125,ルンビニー愛児園,238614.92289913245,#fee89660
126,126,ちびくろ保育園,287134.3165166819,#fedc7d60
127,127,御崎保育所,1631345.8619879917,#fedf8460
128,128,兵庫保育園,1041115.5383339899,#fd9d4360
136,136,認定こども園　このみ保育園,2741058.8570066164,#fee69160
137,137,幼保連携型認定こども園　星和台幼稚園,2220757.739665624,#00000000
138,138,幼保連携型認定こども園　五葉幼稚園,678181.4055128675,#fffbc260
139,139,幼保連携型認定こども園　みどりこども園,38141224.429503344,#fed26f60
140,140,幼保連携型認定こども園　鈴蘭台北町こども園,6317713.978504058,#fed37060
141,141,認定こども園　鈴蘭台幼稚園,397738.9502573275,#00000000
142,142,認定こども園　ひよどり台幼稚園,3513528.4023813577,#fff6b760
143,143,認定こども園　正英幼稚園,10151889.285560198,#ffeea360
144,144,桜の宮保育所,2120885.6967167994,#feec9e60
145,145,君影保育所,3182782.5245589605,#fff9bf60
146,146,鈴蘭台西町保育所,477429.51045436267,#00000000
147,147,ひよどり台保育所,2326492.2863048436,#fff6b760
148,148,鈴蘭台南町保育所,384940.2274780869,#00000000
149,149,鈴蘭台保育園,2344625.2219195357,#fee08560
150,150,太陽の子保育園,1837078.0670082727,#fff2ad60
151,151,頌栄保育園,7136185.0236427365,#fff2ac60
152,152,谷上保育園　　※分園を含む,13834493.406966845,#fd943f60
154,154,西鈴蘭台頌栄保育園,839429.6419626487,#00000000
155,155,山のまち保育園,1975844.3417563469,#feeb9b60
162,162,幼保連携型認定こども園　のぞみ保育園,1274568.7058106086,#fffac060
163,163,幼保連携型認定こども園　若竹保育園,884918.9664247746,#fff3b060
164,164,幼保連携型認定こども園　名谷みどりこども園,487274.8954851228,#fff7b860
165,165,菅の台保育所,1941330.9134644566,#fffbc360
166,166,竜が台保育所,578246.055003624,#fff7b860
167,167,北須磨保育園,1657983.8755510554,#fff3b060
168,168,あじさい保育園,5373846.997408316,#fff4b160
169,169,やまびこ保育園,5720368.452303749,#fff1aa60
170,170,くすの木保育園,2183422.8445280627,#fff2ad60
171,171,北須磨第２保育園,727594.9775070973,#fff8bb60
173,173,幼保連携型認定こども園　はっとこども園,1116538.6248122985,#fec56060
174,174,幼保連携型認定こども園　なかはらこども園,230970.7477410901,#fee18860
175,175,認定こども園　六甲道COCORO,236176.96532870524,#fec15c60
176,176,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,124692.65283899881,#fd953f60
177,177,認定こども園　高羽COCORO,236209.86063998315,#febc5760
178,178,幼保連携型認定こども園　神戸さくら保育園,896315.2355640943,#fff7ba60
179,179,幼保連携型認定こども園　微笑幼稚園,3604946.11282412,#fedf8460
180,180,幼保連携型認定こども園　光愛児園　※分園含む　※１,386254.40407981287,#fec56060
181,181,幼保連携型認定こども園　青谷愛児園,3755457.2083873744,#fec15c60
182,182,幼保連携型認定こども園　おおいしこども園,390752.35173894546,#fee18660
183,183,幼保連携型認定こども園　オリンピア都こども園,221980.06879250295,#fecc6860
184,184,幼保連携型　めばえの園認定こども園　※分園含む　※２,328942.62439002405,#fee18660
185,185,灘保育所,986037.0781855256,#fff3b060
186,186,西灘保育所,303803.95626642124,#fd9b4260
187,187,石屋川保育所,247800.86545063107,#fd8d3c60
188,188,倉石保育所,275261.47025611065,#feda7960
189,189,やはた桜保育所,447343.5446045002,#fc8a3b60
190,190,やはた桜保育所鶴甲分室,5607399.291027085,#ffeea360
191,191,誠佛保育園,101871.75032231309,#fec05b60
192,192,同朋保育園,2999846.246524322,#fec35f60
193,193,ゆりか保育園,256893.21987760047,#feb34e60
194,194,六甲ゆりかご保育園,118645.69167732805,#fed57160
195,195,花音つばさ保育園,211984.15846564877,#fdae4a60
196,196,琵琶COCORO保育園,191985.77697525235,#fedd8060
210,210,幼保連携型認定こども園　神戸保育園,350828.17858282436,#fee38c60
211,211,幼保連携型認定こども園　たから保育園,369137.8424411171,#ffeea360
212,212,幼保連携型認定こども園　神楽こども園,441810.48629602,#fee79560
213,213,神戸エンゼル認定こども園,205635.60134224288,#00000000
214,214,認定こども園　近田幼稚園,301483.3236298897,#ffefa560
215,215,認定こども園　名倉幼稚園　※,536366.4396164413,#ffefa660
216,216,長田保育所,410257.0849154498,#00000000
217,217,菅原保育所,283439.33794906974,#ffeea360
218,218,本庄保育所,605311.0344093393,#ffefa560
219,219,駒栄保育所,487375.55187063984,#fee89660
220,220,房王寺保育所,581197.2533399318,#ffefa560
221,221,明泉寺保育所,1172833.1496300814,#ffefa660
222,222,長田東保育所,247890.9310750928,#fff1aa60
224,224,しりいけ保育所,415110.68382504105,#00000000
225,225,ふたば保育所,508946.24678552995,#fed97660
226,226,新生保育園,598010.1868058351,#00000000
227,227,"神視保育園, 天隣乳児保育園",252269.0340757575,#ffeea360
228,228,けやき保育園,4120718.0799284065,#ffefa660
229,229,みすまる保育園,687364.2990148749,#fff8bc60
230,230,五位の池保育園,467767.0937978506,#fff2ac60
231,231,ほそだ保育園,318231.8561299545,#feeb9b60
234,234,幼保連携型認定こども園　岩岡こども園　　※分園を含む,15143911.590125017,#fec15c60
235,235,幼保連携型認定こども園　おっこう山,6997636.7324539805,#fff2ad60
236,236,幼保連携型認定こども園　あさひ保育園,17515727.359480795,#fff0a860
237,237,幼保連携型認定こども園　YMCA保育園　　※分園を含む,1522157.5304908622,#fff7b860
238,238,幼保連携型認定こども園　なごみ保育園,2229318.292529085,#fedb7a60
239,239,幼保連携型認定こども園　西神戸YMCA保育園,1034217.0384591469,#ffeea360
240,240,幼保連携型認定こども園　神戸潤和保育園,815568.1638572142,#fee69260
241,241,幼保連携型認定こども園　神戸学園都市YMCAこども園,4010782.767094823,#fff7b860
242,242,認定こども園　ななほし保育園,1562831.985690045,#fed16d60
243,243,幼保連携型認定こども園　あい保育園,871944.7827948073,#fede8160
244,244,幼保連携型認定こども園　あゆみ幼児園,7407397.17197547,#febd5860
245,245,幼保連携型認定こども園　同朋にこにここども園　※分園含む　※２,3760920.0233382643,#fedb7c60
246,246,幼保連携型認定こども園　わらべ保育園,2775391.030001284,#fed06c60
247,247,幼保連携型認定こども園　有瀬幼稚園,443504.0793379381,#fda54660
248,248,認定こども園　さくらんぼ幼稚園,12113399.77372286,#ffefa560
249,249,認定こども園　いぶき幼稚園,7930092.3299190495,#feeb9b60
250,250,認定こども園　桑ノ木幼稚園,609715.7848828732,#fed77460
251,251,玉津保育所,1170801.2299344973,#feb34e60
252,252,押部谷保育所,6570749.99907967,#fee28960
253,253,王塚台保育所,1070531.938994819,#fdaf4a60
254,254,日輪寺保育園,2669725.1629262283,#fedd7e60
255,255,弁天保育園,671933.3202112359,#fc803860
256,256,神出保育園,15994878.886522776,#feda7960
257,257,平野保育園,5402852.470006247,#fed67360
258,258,出合保育園,879895.9552540514,#fed06c60
259,259,持子保育園,1191931.0257890655,#febf5a60
260,260,竹の台保育園,2067459.7561641333,#fece6b60
261,261,美賀多保育園,7042491.0512961075,#fdb14b60
262,262,まゆか保育園,2236135.616023449,#fee38c60
263,263,つぐみ保育園,901930.298474997,#fff3b060
264,264,ひまわり保育園,2084702.569933733,#ffeea360
265,265,なかよし保育園　　※分園を含む,1715298.5808333063,#fed97660
266,266,あおぞら保育園,1311957.4758348307,#feda7960
267,267,枦谷つぐみ保育園,1463877.925886015,#fedb7c60
268,268,枝吉保育所,881099.8089424728,#febc5760
269,269,井吹北つぐみ保育園　　※分園を含む,1078478.6476091251,#ffefa660
281,281,幼保連携型認定こども園　若木保育園,398077.9605561975,#00000000
282,282,幼保連携型認定こども園　大手幼稚園,538099.673186845,#00000000
283,283,幼保連携型認定こども園　西須磨幼稚園,1004382.1209011183,#00000000
284,284,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,1608079.2032605966,#fff3b060
285,285,認定こども園　禅昌寺幼稚園,2147189.190374482,#fff9bf60
286,286,須磨保育所,178574.10710687225,#fff8bc60
287,287,たかとり保育所,400153.47470802604,#00000000
288,288,高倉台保育所,1389777.213191876,#fff3b060
289,289,東須磨愛児園　　※分園含む,1120086.7080118246,#00000000
290,290,太田共同保育園,161661.6123136558,#fff8bc60
291,291,千歳保育園,223584.82515902846,#feea9a60
292,292,村雨保育園　※分園含む　※２,556703.556639874,#00000000
293,293,すまいる保育園,2067124.9355681934,#fff7b860
294,294,いたやど保育園,257018.81194275382,#fff2ac60
295,295,若宮保育園,525729.3588627956,#fff6b760
296,296,たかとりちどり保育園,204657.3431393286,#fff1aa60
