R,hint,施設名,0,1
0.0,0,幼保連携型みのり認定こども園,823446.1093110027,#fff3b060
1.0,1,聖ミカエル幼保連携型認定こども園,961192.0514672634,#fee99760
2.0,2,幼保連携型認定こども園　はたつかこども園,2401777.750601663,#00000000
3.0,3,大慈ほまれ幼保連携型認定こども園,303593.03045544354,#00000000
4.0,4,幼保連携型認定こども園　塩原学園幼稚園,1454371.8236386569,#feec9e60
5.0,5,認定こども園　神戸華僑幼稚園,1023831.048563875,#fee99760
6.0,6,葺合保育所,262169.5501335787,#fff3b060
7.0,7,生田保育所,421171.58716969524,#fee99760
9.0,9,みなと保育所,1299523.4829813612,#fee99760
10.0,10,宮本保育所,380010.85034900444,#feec9e60
11.0,11,二宮保育所※,305606.314142733,#fff3b060
12.0,12,神若保育所,197547.16320149842,#00000000
13.0,13,古湊保育所,530692.8054047815,#00000000
14.0,14,友愛幼児園,1017650.8460679868,#fff3b060
15.0,15,めぐみ愛児園,106848.88830184597,#fff3b060
17.0,17,大慈保育園　　※分園を含む,343396.4637493454,#00000000
18.0,18,ポートピア保育園,5663800.3996905405,#feea9a60
19.0,19,真生きらきら保育園,694765.372380996,#fee99760
20.0,20,神女中山手保育園,735451.580548438,#00000000
21.0,21,成晃ひかり保育園,5554399.0227456875,#00000000
22.0,22,北野坂保育園,3693605.96233961,#fee99760
23.0,23,（仮称）元町ちどり保育園,1460347.7532902583,#fff3b060
41.0,41,幼保連携型認定こども園　聖ニコラス天使園,321615.816666446,#00000000
42.0,42,幼保連携型認定こども園　夢　　※分園を含む　※１,469619.3352330004,#fff5b560
43.0,43,幼保連携型認定こども園　石屋川くるみ保育園,439534.2744608313,#00000000
44.0,44,幼保連携型認定こども園　本山北町あすのこども園,1134124.4716290238,#feea9a60
45.0,45,認定こども園　魚崎COCORO,1070865.4122726377,#fff5b560
46.0,46,幼保連携型認定こども園　きらり保育園,197843.31649397657,#00000000
47.0,47,幼保連携型認定こども園　きたおおぎこども園,155410.15068886042,#00000000
48.0,48,認定こども園　松蔭おかもと保育園,1292743.1114980918,#00000000
49.0,49,幼保連携型認定こども園　第２きらり保育園,538580.2937159521,#fff6b760
50.0,50,幼保連携型認定こども園　同朋住吉台こども園,6960697.832062277,#00000000
51.0,51,幼保連携型認定こども園　甲南すこやかこども園,440485.74104379973,#fff5b560
52.0,52,幼保連携型認定こども園　モーツァルトこども園,150900.05393997193,#00000000
53.0,53,認定こども園　あおい宙,200721.1742692868,#00000000
54.0,54,幼保連携型認定こども園　甲南こども園,1033440.8802210464,#00000000
55.0,55,認定こども園　夢の星幼稚園,2309378.1247097477,#fff6b760
56.0,56,魚崎保育所,1326738.1362681794,#ffeda160
57.0,57,東灘本庄保育所,851363.599537887,#fff6b760
58.0,58,御影保育所,481811.4192508005,#00000000
59.0,59,本山保育所,175656.2520466819,#feea9a60
60.0,60,渦森台保育所,7652987.033039764,#00000000
61.0,61,中野保育所,146373.85633514312,#00000000
62.0,62,瀬戸保育所,228465.36003032158,#00000000
63.0,63,田中保育所,561355.3214996086,#00000000
64.0,64,浜御影保育所,232967.6259083043,#00000000
65.0,65,住吉公園保育所,217216.31653126888,#00000000
66.0,66,光の子保育園　　※分園を含む　※２,3600438.3838889142,#ffeda160
68.0,68,ベネッセ本山保育園,260137.66953493402,#feea9a60
69.0,69,親和保育園,1248533.2858672475,#00000000
70.0,70,虹保育園,1003750.54457651,#fff6b760
71.0,71,岡本ハーベスト保育園,1184149.4715072047,#feea9a60
73.0,73,甲南山手保育園,286259.0721669414,#00000000
74.0,74,おかもと虹保育園,217923.5907967304,#feea9a60
75.0,75,御影のどか保育園,1045186.8836101497,#00000000
76.0,76,住吉むつみ保育園　　※分園含む　※３,329321.5563107454,#00000000
77.0,77,ＡＢＣみかげ保育園,1111530.1354654278,#fff5b560
78.0,78,ブルーノの森保育園,167526.57135356028,#00000000
79.0,79,神戸住吉保育園,167978.62124151568,#00000000
93.0,93,幼保連携型　明照認定こども園,2919619.5098968293,#00000000
94.0,94,幼保連携型　つきかげ認定こども園,1311138.6741040933,#00000000
95.0,95,幼保連携型認定こども園　星の杜こども園,2476971.005889366,#fff9be60
96.0,96,幼保連携型認定こども園　キッズキャンパス,19018404.152129263,#fff3b060
97.0,97,幼保連携型認定こども園　八多保育園,6607495.598536336,#fff9be60
98.0,98,幼保連携型認定こども園　星の子こども園,3203906.6947180666,#fff9be60
99.0,99,認定こども園　六甲藤原台幼稚園,2954570.0913505848,#00000000
100.0,100,からと保育所,10312098.45337634,#00000000
101.0,101,道場保育園,21472651.963693462,#fff9be60
102.0,102,有馬保育園,12677717.585522693,#00000000
103.0,103,大池保育園,16758769.617689654,#00000000
104.0,104,ひとみ保育園,3105170.1012337366,#00000000
105.0,105,オリンピア神戸北保育園,29113490.587756544,#fee89660
113.0,113,幼保連携型認定こども園　宝地院保育園,425642.85557262885,#00000000
114.0,114,幼保連携型認定こども園　大同保育園,2242136.529246754,#fee99760
115.0,115,幼保連携型認定こども園　モーツァルト兵庫こども園,153109.79431431735,#00000000
116.0,116,幼保連携型認定こども園　神港みどり幼稚園,490173.2367516167,#00000000
117.0,117,運南保育所,692254.5494876759,#00000000
118.0,118,松原保育所,106954.01884623422,#00000000
119.0,119,羽坂保育所,556473.8210942749,#00000000
120.0,120,平野保育所,521242.0319467327,#00000000
121.0,121,小河保育所,428420.8153001488,#00000000
122.0,122,ゆりかご保育園,2049098.1200334355,#00000000
123.0,123,本願寺派湊川保育園,424962.62774841854,#00000000
124.0,124,神徳館保育所,672243.758806792,#00000000
125.0,125,ルンビニー愛児園,238614.92289913245,#00000000
126.0,126,ちびくろ保育園,287134.3165166819,#00000000
127.0,127,御崎保育所,1631345.8619879487,#00000000
128.0,128,兵庫保育園,1041115.5383339899,#00000000
136.0,136,認定こども園　このみ保育園,2741058.8570066183,#fff9be60
137.0,137,幼保連携型認定こども園　星和台幼稚園,2220757.739665624,#00000000
138.0,138,幼保連携型認定こども園　五葉幼稚園,678181.4055128675,#fd9b4260
139.0,139,幼保連携型認定こども園　みどりこども園,38141224.429503374,#fd994160
140.0,140,幼保連携型認定こども園　鈴蘭台北町こども園,6317713.978504058,#fee18660
141.0,141,認定こども園　鈴蘭台幼稚園,397738.9502573275,#00000000
142.0,142,認定こども園　ひよどり台幼稚園,3513528.4023813577,#00000000
143.0,143,認定こども園　正英幼稚園,10151889.285560176,#fda54660
144.0,144,桜の宮保育所,2120885.6967167985,#fd9b4260
145.0,145,君影保育所,3182782.5245589605,#00000000
146.0,146,鈴蘭台西町保育所,477429.51045436267,#fff4b360
147.0,147,ひよどり台保育所,2326492.2863048436,#00000000
148.0,148,鈴蘭台南町保育所,384940.22747808864,#00000000
149.0,149,鈴蘭台保育園,2344625.2219195357,#fedd7e60
150.0,150,太陽の子保育園,1837078.0670082755,#fff4b360
151.0,151,頌栄保育園,7136185.023642743,#fdb14b60
152.0,152,谷上保育園　　※分園を含む,13834493.406966802,#feda7860
154.0,154,西鈴蘭台頌栄保育園,839429.6419626406,#fdb14b60
155.0,155,山のまち保育園,1975844.341756336,#fda54660
162.0,162,幼保連携型認定こども園　のぞみ保育園,1274568.7058106095,#fff0a860
163.0,163,幼保連携型認定こども園　若竹保育園,884918.9664247746,#fee59060
164.0,164,幼保連携型認定こども園　名谷みどりこども園,487274.8954851228,#fff7b860
165.0,165,菅の台保育所,1941330.9134644556,#febd5860
166.0,166,竜が台保育所,578246.055003624,#fedc7d60
167.0,167,北須磨保育園,1657983.8755510554,#fda54660
168.0,168,あじさい保育園,5373846.997408316,#00000000
169.0,169,やまびこ保育園,5720368.452303751,#fff0a860
170.0,170,くすの木保育園,2183422.8445280627,#fee59060
171.0,171,北須磨第２保育園,727594.9775070973,#fee59060
173.0,173,幼保連携型認定こども園　はっとこども園,1116538.6248122945,#00000000
174.0,174,幼保連携型認定こども園　なかはらこども園,230970.7477410901,#feec9e60
175.0,175,認定こども園　六甲道COCORO,236176.965328705,#ffefa660
176.0,176,幼保連携型認定こども園　八幡幼稚園・八幡ピジョン保育園,124692.65283899823,#ffefa660
177.0,177,認定こども園　高羽COCORO,236209.86063998367,#ffefa660
178.0,178,幼保連携型認定こども園　神戸さくら保育園,896315.2355640943,#00000000
179.0,179,幼保連携型認定こども園　微笑幼稚園,3604946.11282412,#00000000
180.0,180,幼保連携型認定こども園　光愛児園　※分園含む　※１,386254.40407981287,#00000000
181.0,181,幼保連携型認定こども園　青谷愛児園,3755457.2083873744,#feec9e60
182.0,182,幼保連携型認定こども園　おおいしこども園,390752.35173894383,#00000000
183.0,183,幼保連携型認定こども園　オリンピア都こども園,221980.06879250295,#00000000
184.0,184,幼保連携型　めばえの園認定こども園　※分園含む　※２,328942.62439002405,#00000000
